canonical_smiles,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,target_organism,type,value
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,CHEMBL65848,5.30,=,=,IC50,Homo sapiens,IC50,5.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,CHEMBL65848,5.37,=,=,IC50,Homo sapiens,IC50,4.32
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,CHEMBL76985,4.33,=,=,IC50,Homo sapiens,IC50,47.0
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69629,8.19,=,=,IC50,Homo sapiens,IC50,0.0065
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69629,7.40,=,=,IC50,Homo sapiens,IC50,0.04
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69629,5.69,=,=,IC50,Homo sapiens,IC50,2.05
CN(c1ccccc1)c1ncnc2ccc(N)cc12,CHEMBL136492,5.08,=,=,IC50,Homo sapiens,IC50,8.4
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CHEMBL66570,7.89,=,=,IC50,Homo sapiens,IC50,0.013
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CHEMBL66570,6.70,=,=,IC50,Homo sapiens,IC50,0.2
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,CHEMBL66570,5.12,=,=,IC50,Homo sapiens,IC50,7.5
N#CC(C#N)=Cc1ccc(C=O)cc1,CHEMBL311119,4.22,=,=,IC50,Homo sapiens,IC50,60.0
N#CC(C#N)=Cc1ccc(C=O)cc1,CHEMBL311119,4.70,=,=,Ki,Homo sapiens,Ki,20.0
N#CC(C#N)=Cc1cc(O)cc(O)c1,CHEMBL76905,4.43,=,=,IC50,Homo sapiens,IC50,37.0
N#CC(C#N)=Cc1cc(O)cc(O)c1,CHEMBL76905,5.00,=,=,Ki,Homo sapiens,Ki,10.0
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL305194,7.54,=,=,IC50,Homo sapiens,IC50,0.029
COc1cc(C=C(C#N)C#N)cc(O)c1O,CHEMBL80155,5.22,=,=,IC50,Homo sapiens,IC50,6.0
COc1cc(C=C(C#N)C#N)cc(O)c1O,CHEMBL80155,5.66,=,=,Ki,Homo sapiens,Ki,2.2
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL343352,6.70,=,=,IC50,Homo sapiens,IC50,0.2
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL52765,7.36,=,=,IC50,Homo sapiens,IC50,0.044
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,CHEMBL76642,4.12,=,=,IC50,Homo sapiens,IC50,75.0
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,CHEMBL76642,4.62,=,=,Ki,Homo sapiens,Ki,24.0
Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL308645,8.33,=,=,IC50,Homo sapiens,IC50,0.0047
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,CHEMBL67003,8.74,=,=,IC50,Homo sapiens,IC50,0.0018
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,CHEMBL67003,7.00,=,=,IC50,Homo sapiens,IC50,0.1
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL134312,7.96,=,=,IC50,Homo sapiens,IC50,0.011
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,CHEMBL77243,4.26,=,=,IC50,Homo sapiens,IC50,55.0
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,CHEMBL80745,5.92,=,=,IC50,Homo sapiens,IC50,1.2
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL305246,8.55,=,=,IC50,Homo sapiens,IC50,0.0028
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL305246,7.00,=,=,IC50,Homo sapiens,IC50,0.1
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL305246,6.12,=,=,IC50,Homo sapiens,IC50,0.75
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,CHEMBL69966,7.75,=,=,IC50,Homo sapiens,IC50,0.018
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,CHEMBL69966,7.40,=,=,IC50,Homo sapiens,IC50,0.04
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,CHEMBL69966,6.21,=,=,IC50,Homo sapiens,IC50,0.62
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,CHEMBL47940,5.50,=,=,IC50,Homo sapiens,IC50,3.2
COc1cc(C=C(C#N)C#N)ccc1O,CHEMBL77869,4.17,=,=,Ki,Homo sapiens,Ki,67.0
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL69358,8.92,=,=,IC50,Homo sapiens,IC50,0.0012
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL69358,6.70,=,=,IC50,Homo sapiens,IC50,0.2
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL69358,5.89,=,=,IC50,Homo sapiens,IC50,1.29
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,CHEMBL137189,6.70,=,=,IC50,Homo sapiens,IC50,0.2
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137617,7.41,=,=,IC50,Homo sapiens,IC50,0.039
CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL137027,6.32,=,=,IC50,Homo sapiens,IC50,0.482
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,CHEMBL78257,6.10,=,=,IC50,Homo sapiens,IC50,0.8
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,CHEMBL309334,5.60,=,=,IC50,Homo sapiens,IC50,2.5
Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL304971,6.39,=,=,IC50,Homo sapiens,IC50,0.41
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69071,8.23,=,=,IC50,Homo sapiens,IC50,0.0059
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69071,5.59,=,=,IC50,Homo sapiens,IC50,2.58
CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL137534,7.42,=,=,IC50,Homo sapiens,IC50,0.038
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL137788,6.47,=,=,IC50,Homo sapiens,IC50,0.335
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,CHEMBL424093,7.60,=,=,IC50,Homo sapiens,IC50,0.025
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,CHEMBL77030,5.62,=,=,IC50,Homo sapiens,IC50,2.4
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,CHEMBL77030,6.07,=,=,Ki,Homo sapiens,Ki,0.85
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL264382,8.96,=,=,IC50,Homo sapiens,IC50,0.0011
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL264382,6.70,=,=,IC50,Homo sapiens,IC50,0.2
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL264382,5.71,=,=,IC50,Homo sapiens,IC50,1.95
COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,CHEMBL307179,4.26,=,=,Ki,Homo sapiens,Ki,55.0
Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,CHEMBL305782,6.75,=,=,IC50,Homo sapiens,IC50,0.18
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,CHEMBL308672,6.35,=,=,IC50,Homo sapiens,IC50,0.45
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,CHEMBL308672,6.30,=,=,IC50,Homo sapiens,IC50,0.5
Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,CHEMBL133023,7.62,=,=,IC50,Homo sapiens,IC50,0.024
COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL136674,7.15,=,=,IC50,Homo sapiens,IC50,0.071
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,CHEMBL73820,4.60,=,=,IC50,Homo sapiens,IC50,25.0
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,CHEMBL73820,4.16,=,=,Ki,Homo sapiens,Ki,70.0
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(Br)c1,CHEMBL77803,6.30,=,=,IC50,Homo sapiens,IC50,0.5
COc1cc(C=C(C#N)C#N)cc(Br)c1O,CHEMBL77298,4.30,=,=,Ki,Homo sapiens,Ki,50.0
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,CHEMBL432941,5.05,=,=,IC50,Homo sapiens,IC50,8.88
COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,CHEMBL322395,5.52,=,=,IC50,Homo sapiens,IC50,3000.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,CHEMBL431996,4.25,=,=,IC50,Homo sapiens,IC50,56.5
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,CHEMBL86531,4.54,=,=,IC50,Homo sapiens,IC50,29.1
C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL138691,8.38,=,=,IC50,Homo sapiens,IC50 app,4.2
C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL138691,5.64,=,=,IC50,Homo sapiens,IC50,2282.0
Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,CHEMBL52829,8.40,=,=,IC50,Homo sapiens,IC50,4.0
Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,CHEMBL52823,6.42,=,=,IC50,Homo sapiens,IC50,380.0
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL139307,8.48,=,=,IC50,Homo sapiens,IC50 app,3.3
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL139307,6.71,=,=,IC50,Homo sapiens,IC50,194.0
